index,pattern,tag
0,Hi,0
1,Hey,0
2,How are you,0
3,Is anyone there?,0
4,Hello,0
5,Good day,0
6,Bye,1
7,See you later,1
8,Goodbye,1
9,Thanks,2
10,Thank you,2
11,That's helpful,2
12,Thank's a lot!,2
13,tell me about this app,3
14,What kinds of technology used?,3
15,What is this?,3
16,What are you?,3
17,Tell me a joke!,4
18,Tell me something funny!,4
19,Do you know a joke?,4
20,Where should I go to obtain the BUCET application form?,5
21,What is the location for acquiring the BUCET application form?,5
22,Could you direct me to where I can pick up the BUCET application form?,5
23,Where can I find the BUCET application form?,5
24,What's the designated place to get the BUCET application form?,5
25,Can you guide me on where to secure the BUCET application form?,5
26,In which office can I obtain the BUCET application form?,5
27,Where is the distribution point for the BUCET application form?,5
28,What's the specific location to collect the BUCET application form?,5
29,Could you inform me about where I can access the BUCET application form?,5
30,Where do I need to go to fetch the BUCET application form?,5
31,Can you tell me the exact place to procure the BUCET application form?,5
32,What is the venue for obtaining the BUCET application form?,5
33,Where am I supposed to go to get the BUCET application form?,5
34,Do you know where I can get my hands on the BUCET application form?,5
35,Could you point me in the right direction to get the BUCET application form?,5
36,Where do applicants go to receive the BUCET application form?,5
37,What's the location for picking up the BUCET application form?,5
38,Where should I head to acquire the BUCET application form?,5
39,Can you provide information on where I can procure the BUCET application form?,5
40,Where is the designated spot for obtaining the BUCET application form?,5
41,Do you know the place where I can obtain the BUCET application form?,5
42,Where can I retrieve the BUCET application form?,5
43,Could you advise me on the location to obtain the BUCET application form?,5
44,What's the address for obtaining the BUCET application form?,5
45,Where can I go to pick up the BUCET application form?,5
46,Can you direct me to the office where I can obtain the BUCET application form?,5
47,What's the specific office for acquiring the BUCET application form?,5
48,Where do I need to visit to get the BUCET application form?,5
49,Could you let me know the location where I can get the BUCET application form?,5
50,Where is the official place to obtain the BUCET application form?,5
51,Where can I find the BUCET application form on campus?,5
52,Where is the official place to obtain the BUCET application form?,5
53,What's the official office for distributing the BUCET application form?,5
54,Can you tell me where the BUCET application forms are available?,5
55,Where should I go on campus to get the BUCET application form?,5
56,What's the designated building for obtaining the BUCET application form?,5
57,Where can I go within the university to acquire the BUCET application form?,5
58,Could you provide instructions on rescheduling my appointment date?,6
59,What's the proper procedure for changing my appointment date?,6
60,Can you inform me about the protocol for rescheduling my appointment date?,6
61,How can I adjust my appointment date to a different time?,6
62,What is the correct way to modify my appointment date?,6
63,Could you explain the steps involved in rescheduling my appointment date?,6
64,Is there a specific process for changing my appointment date?,6
65,What do I need to do to reschedule my appointment date?,6
66,Can you walk me through the steps to reschedule my appointment date?,6
67,How can I make adjustments to my scheduled appointment date?,6
68,What's the recommended method for rescheduling my appointment date?,6
69,Can you provide guidance on the proper way to change my appointment date?,6
70,What is the official procedure for rescheduling an appointment date?,6
71,How do I formally request a change in my appointment date?,6
72,Could you outline the steps for rescheduling my appointment date?,6
73,Is there a specific form or process for altering my appointment date?,6
74,How do I initiate the process of changing my appointment date?,6
75,What documentation or information do I need to provide to reschedule my appointment date?,6
76,Could you inform me of the proper channels to go through for rescheduling my appointment date?,6
77,How can I officially request a reschedule for my appointment date?,6
78,What's the formal way to request a change in my appointment date?,6
79,Can you explain the official policy for rescheduling appointment dates?,6
80,Is there a specific department or contact I should reach out to for rescheduling my appointment date?,6
81,How do I navigate the system to reschedule my appointment date?,6
82,What options are available for me to reschedule my appointment date?,6
83,How do I access the rescheduling feature for my appointment date?,6
84,Can you explain the online process for rescheduling my appointment date?,6
85,What is the preferred method for rescheduling an appointment date?,6
86,What is the recommended communication method for rescheduling an appointment date?,6
87,How do I inform the relevant authorities about my intention to change my appointment date?,6
88,Can you advise me on the best way to communicate my need to reschedule my appointment date?,6
89,How do I officially notify the organization about my desire to change my appointment date?,6
90,Can you guide me on the proper communication channels for rescheduling my appointment date?,6
91,What's the appropriate way to inform the concerned parties about my need to change my appointment date?,6
92,How can I access and retrieve the BUCET application form online?,7
