index,response,tag
0,Hey :-),0
1,"Hello, thanks for visiting",0
2,"Hi there, what can I do for you?",0
3,"Hi there, how can I help?",0
4,"See you later, thanks for visiting",1
5,Have a nice day,1
6,Bye! Come back again soon.,1
7,Happy to help!,2
8,Any time!,2
9,My pleasure,2
10,This is a chatbot called Admission ChatBUt: Your Admission Guide.,3
11,Hey there! This is a web application that aids students in there admission for Bicol University.,3
12,Why did the hipster burn his mouth? He drank the coffee before it was cool.,4
13,What did the buffalo say when his son left for college? Bison.,4
14,Begin your application journey by browsing: https://buao.bicol-u.edu.ph,5
15,Gain access to the application portal by clicking: https://buao.bicol-u.edu.ph,5
16,Take the first step in your application by navigating to: https://buao.bicol-u.edu.ph,5
17,Apply easily by clicking: https://buao.bicol-u.edu.ph,5
18,Access the application link via direct browsing: https://buao.bicol-u.edu.ph,5
19,Apply now by going to: https://buao.bicol-u.edu.ph,5
20,Initiate your application process by clicking: https://buao.bicol-u.edu.ph,5
21,Access the application form by visiting: https://buao.bicol-u.edu.ph,5
22,Begin your application journey by accessing: https://buao.bicol-u.edu.ph,5
23,Start your application journey by visiting: https://buao.bicol-u.edu.ph,5
24,Apply conveniently by browsing: https://buao.bicol-u.edu.ph,5
25,Take the initiative to apply by clicking: https://buao.bicol-u.edu.ph,5
26,Begin your application process by navigating to: https://buao.bicol-u.edu.ph,5
27,Access the application portal by opening: https://buao.bicol-u.edu.ph,5
28,Start your application journey by clicking: https://buao.bicol-u.edu.ph,5
29,Begin your application process by visiting: https://buao.bicol-u.edu.ph,5
30,Apply now by browsing: https://buao.bicol-u.edu.ph,5
31,Gain access to the application portal by navigating to: https://buao.bicol-u.edu.ph,5
32,Initiate your application by clicking: https://buao.bicol-u.edu.ph,5
33,Access the application form easily via direct visit: https://buao.bicol-u.edu.ph,5
34,Apply now by accessing: https://buao.bicol-u.edu.ph,5
35,"To change your appointment date, simply click on the link provided: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php",6
36,Rescheduling made simple: access the link here: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
37,"If you need to reschedule your appointment date, visit: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php",6
38,You can change your appointment date by navigating to: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
39,Want to change the date? Click here: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
40,Adjust your appointment date by following this link: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
41,Need to reschedule your appointment? Visit the link: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
42,Reschedule your appointment date by accessing this link: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
43,Change your appointment date easily: visit this link: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
44,"For appointment date changes, click here: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php",6
45,"To change your appointment date, visit this webpage: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php",6
46,Reschedule your appointment by visiting this link: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
47,Adjust your appointment date easily: click here: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
48,Want to change your appointment date? Go here: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
49,Need to reschedule? Click on this link: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
50,Reschedule your appointment date by accessing this webpage: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
51,Change your appointment date easily: visit: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
52,"For appointment date changes, visit this link: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php",6
53,"To change your appointment date, click here: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php",6
54,Reschedule your appointment by following this link: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
55,Adjust your appointment date easily: visit the provided link: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
56,Want to change the date? Click on this link: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
57,Need to reschedule your appointment? Go to: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
58,Reschedule your appointment date by clicking here: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
59,Change your appointment date easily: access this link: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
60,"For appointment date changes, visit this link: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php",6
61,"To change your appointment date, click here: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php",6
62,Reschedule your appointment by following this link: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
63,Adjust your appointment date easily: visit the provided link: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
64,Want to change the date? Click on this link: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
65,Need to reschedule your appointment? Go to: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
66,Reschedule your appointment date by clicking here: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
67,Change your appointment date easily: access this link: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
68,"For appointment date changes, visit: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php",6
69,"To change your appointment date, click the link provided: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php",6
70,Reschedule your appointment by visiting this link: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
71,Adjust your appointment date easily: click here: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
72,Want to change your appointment date? Go to: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
73,Need to reschedule? Click on this link: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
74,Reschedule your appointment date by navigating to: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
75,Change your appointment date easily: visit this webpage: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,6
76,"For appointment date changes, click here: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php",6
77,Use the link to find and download your application form: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,7
78,Access and download your application form via link visit: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,7
79,Obtain your application form by clicking on this link: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,7
80,Visit the link to find and retrieve your application form: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,7
81,Retrieve your application form by visiting: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,7
82,Click the link provided to find and download your application form: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,7
83,Discover your application form by clicking on this link: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,7
84,Find and download your application form via link visit: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,7
85,Locate your application form by visiting: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,7
86,Visit the link to discover your application form for download: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,7
87,Retrieve your application form by clicking on the link provided: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,7
88,Visit the provided link to find and download your application form: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,7
89,Access and download your application form via link visitation: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,7
90,Obtain your application form by clicking this link: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,7
91,Visit the link to find and retrieve your application form: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,7
92,Retrieve your application form by visiting: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,7
93,Click the link provided to find and download your application form: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,7
94,Discover your application form by clicking on this link: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,7
95,Find and download your application form via link visit: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,7
96,Locate your application form by visiting: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,7
97,Visit the link to discover your application form for download: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,7
98,Retrieve your application form by clicking on the link provided: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,7
99,Visit the provided link to find and download your application form: https://buao.bicol-u.edu.ph/bucet_online/retrieve.php,7
100,"To update your picture, simply click on the link provided: https://buao.bicol-u.edu.ph/bucet_online/edit_pic.php",8
101,Picture adjustments made simple: access the link here: https://buao.bicol-u.edu.ph/bucet_online/edit_pic.php,8
102,"If you need to update your picture, visit: https://buao.bicol-u.edu.ph/bucet_online/edit_pic.php",8
103,You can change or re-upload your picture by navigating to: https://buao.bicol-u.edu.ph/bucet_online/edit_pic.php,8
104,Want to change or re-upload? Click here: https://buao.bicol-u.edu.ph/bucet_online/edit_pic.php,8
105,Need to change or re-upload? Click on this link: https://buao.bicol-u.edu.ph/bucet_online/edit_pic.php,8
106,Change or re-upload your picture by navigating to: https://buao.bicol-u.edu.ph/bucet_online/edit_pic.php,8
107,Adjust or re-upload your picture easily: click here: https://buao.bicol-u.edu.ph/bucet_online/edit_pic.php,8
108,Want to change or re-upload? Go to: https://buao.bicol-u.edu.ph/bucet_online/edit_pic.php,8
109,Need to change or re-upload? Click on this link: https://buao.bicol-u.edu.ph/bucet_online/edit_pic.php,8
110,Change or re-upload your picture by navigating to: https://buao.bicol-u.edu.ph/bucet_online/edit_pic.php,8
111,Adjust or re-upload your picture easily: click here: https://buao.bicol-u.edu.ph/bucet_online/edit_pic.php,8
112,Want to change or re-upload? Go to: https://buao.bicol-u.edu.ph/bucet_online/edit_pic.php,8
113,Need to change or re-upload? Click on this link: https://buao.bicol-u.edu.ph/bucet_online/edit_pic.php,8
114,Change or re-upload your picture by navigating to: https://buao.bicol-u.edu.ph/bucet_online/edit_pic.php,8
115,Adjust or re-upload your picture easily: click here: https://buao.bicol-u.edu.ph/bucet_online/edit_pic.php,8
116,Want to change or re-upload? Go to: https://buao.bicol-u.edu.ph/bucet_online/edit_pic.php,8
117,Need to change or re-upload? Click on this link: https://buao.bicol-u.edu.ph/bucet_online/edit_pic.php,8
118,Change or re-upload your picture by navigating to: https://buao.bicol-u.edu.ph/bucet_online/edit_pic.php,8
119,Adjust or re-upload your picture easily: click here: https://buao.bicol-u.edu.ph/bucet_online/edit_pic.php,8
120,Want to change or re-upload? Go to: https://buao.bicol-u.edu.ph/bucet_online/edit_pic.php,8
121,Need to change or re-upload? Click on this link: https://buao.bicol-u.edu.ph/bucet_online/edit_pic.php,8
122,A week before the examination day per test center,9
123,Pass it on a week before the examination day per test center,9
124,A week before the examination day per test center is the deadline for submitting the requirements.,9
125,It's due is on a week before the examination day per test center,9
126,The deadline is a week before the examination day per test center,9
127,The PHP 250.00 registration fee is not applicable to Filipino freshmen applicants under R.A. NO. 10931.,10
128,Filipino freshmen applicants are granted a waiver for the PHP 250.00 registration fee as per R.A. NO. 10931.,10
129,"The PHP 250.00 registration fee is waived for Filipino freshmen applicants, as mandated by R.A. NO. 10931.",10
130,"Pursuant to R.A. NO. 10931, Filipino freshmen applicants are excused from paying the PHP 250.00 registration fee.",10
131,"Under the guidelines of R.A. NO. 10931, Filipino freshmen applicants do not have to pay the PHP 250.00 registration fee.",10
132,The PHP 250.00 registration fee is waived for Filipino freshmen applicants in accordance with R.A. NO. 10931.,10
133,Filipino freshmen applicants are eligible for a waiver of the PHP 250.00 registration fee as stipulated by R.A. NO. 10931.,10
134,"Pursuant to R.A. NO. 10931, Filipino freshmen applicants are relieved from the PHP 250.00 registration fee.",10
135,"Under R.A. NO. 10931, Filipino freshmen applicants are entitled to exemption from the PHP 250.00 registration fee.",10
136,The PHP 250.00 registration fee is not required for Filipino freshmen applicants under R.A. NO. 10931.,10
137,"Pursuant to R.A. NO. 10931, Filipino freshmen applicants are granted a waiver for the PHP 250.00 registration fee.",10
138,Filipino freshmen applicants are exempt from the PHP 250.00 registration fee under the provisions of R.A. NO. 10931.,10
139,"In accordance with R.A. NO. 10931, Filipino freshmen applicants are not charged the PHP 250.00 registration fee.",10
140,"Pursuant to R.A. NO. 10931, Filipino freshmen applicants are excused from the PHP 250.00 registration fee.",10
141,"The PHP 250.00 registration fee is waived for Filipino freshmen applicants, as per R.A. NO. 10931.",10
142,Filipino freshmen applicants are relieved from paying the PHP 250.00 registration fee under the guidelines of R.A. NO. 10931.,10
143,"Pursuant to R.A. NO. 10931, Filipino freshmen applicants are eligible for exemption from the PHP 250.00 registration fee.",10
144,"Under R.A. NO. 10931, Filipino freshmen applicants do not need to pay the PHP 250.00 registration fee.",10
145,The PHP 250.00 registration fee is waived for Filipino freshmen applicants as mandated by R.A. NO. 10931.,10
146,"Pursuant to R.A. NO. 10931, Filipino freshmen applicants are granted a waiver of the PHP 250.00 registration fee.",10
147,Filipino freshmen applicants are exempted from the PHP 250.00 registration fee under R.A. NO. 10931.,10
148,"In compliance with R.A. NO. 10931, the PHP 250.00 registration fee is waived for Filipino freshmen applicants.",10
149,You have the option of having any representative submit your complete BUCET requirements.,11
150,Submission of your complete BUCET requirements is allowed by any representative with proper authorization.,11
151,Any representative who is duly is permitted to submit your entire BUCET requirements.,11
152,You can authorize any representative to submit your complete BUCET requirements.,11
153,Submission of your complete BUCET requirements is open to any authorized representative.,11
154,"Do not re-apply 
If any changes are needed, please print out your application form and make adjustments with correction tape, using a blue ballpen.",12
155,"Do not re-apply 
In the event of any alterations, it's recommended to print your application form and make corrections using correction tape, ensuring to use a blue ballpen.",12
156,"Do not re-apply 
If you would like to make any changes, please print out your application form and edit it with correction tape, using a blue ballpen.",12
157,"Do not re-apply 
Should you wish to modify any information, it is advised to print your application form and adjust it with correction tape, making sure to use a blue ballpen.",12
158,"Do not re-apply 
In case of any required modifications, it's recommended to print your application form and make changes with correction tape, employing a blue ballpen.",12
159,"Do not re-apply 
If you need to make any changes, please print out your application form and amend it with correction tape, using a blue ballpen.",12
160,"Do not re-apply 
If you would like to make changes, print out your application form and edit it with a correction tape and use a blue ballpen",12
161,"Do not re-apply 
Should any adjustments be necessary, kindly print your application form and make edits with correction tape, ensuring to use a blue ballpen.",12
162,"Do not re-apply 
If any alterations are required, it is advised to print your application form and apply corrections with correction tape, making use of a blue ballpen.",12
163,"Do not re-apply 
In the event of any changes, it's recommended to print your application form and modify it with correction tape, ensuring to use a blue ballpen.",12
164,"Do not re-apply 
Should you wish to make any modifications, kindly print your application form and edit it with correction tape, making sure to use a blue ballpen.",12
165,"Do not re-apply 
If adjustments are required, please print out your application form and make corrections with correction tape, using a blue ballpen.",12
166,"Do not re-apply 
In case of any required adjustments, it is advisable to print your application form and adjust it with correction tape, employing a blue ballpen.",12
167,"Do not re-apply 
If you need to modify any details, please print out your application form and make changes with correction tape, using a blue ballpen.",12
168,"Do not re-apply 
Should any alterations be needed, kindly print your application form and apply corrections using correction tape, ensuring to use a blue ballpen.",12
169,"Do not re-apply 
In the event that changes are required, it's recommended to print your application form and amend it with correction tape, making use of a blue ballpen.",12
170,"Do not re-apply 
If any adjustments are necessary, please print out your application form and make edits with correction tape, using a blue ballpen.",12
171,"Do not re-apply 
Should you wish to edit any information, it is advised to print your application form and modify it with correction tape, ensuring to use a blue ballpen.",12
172,"Do not re-apply 
In case any changes need to be made, kindly print your application form and adjust it with correction tape, employing a blue ballpen.",12
173,"Do not re-apply 
If any modifications are necessary, please print out your application form and make corrections with correction tape, using a blue ballpen.",12
174,"Do not re-apply 
Should you need to make any adjustments, it's recommended to print your application form and edit it with correction tape, making sure to use a blue ballpen.",12
175,"Do not re-apply 
In the event that adjustments are required, it is advisable to print your application form and make changes using correction tape, ensuring to use a blue ballpen.",12
176,"Do not re-apply 
If you need to modify any details, kindly print out your application form and adjust it with correction tape, making use of a blue ballpen.",12
177,"Do not re-apply 
Should any alterations be necessary, please print your application form and apply corrections using correction tape, ensuring to use a blue ballpen.",12
178,"Do not re-apply 
In case of any changes, it's recommended to print your application form and amend it with correction tape, using a blue ballpen.",12
179,"Do not re-apply 
If any adjustments are needed, please print out your application form and make edits with correction tape, making use of a blue ballpen.",12
180,"Do not re-apply 
Should you wish to modify any information, kindly print your application form and edit it with correction tape, ensuring to use a blue ballpen.",12
181,"Do not re-apply 
In case any alterations need to be made, it is advised to print your application form and adjust it with correction tape, employing a blue ballpen.",12
182,"Do not re-apply 
If any modifications are required, please print out your application form and make corrections with correction tape, using a blue ballpen.",12
183,"Do not re-apply 
Should you need to make any changes, it's recommended to print your application form and amend it with correction tape, making sure to use a blue ballpen.",12
